start,start_time,end,end_time
Trelleborg,2023-05-14 13:04:40,Swinoujscie,2023-05-14 20:59:52
Swinoujscie,2023-05-14 23:06:30,Trelleborg,2023-05-15 04:57:36
Trelleborg,2023-05-15 06:07:53,Swinoujscie,2023-05-15 11:59:12
Swinoujscie,2023-05-15 14:03:18,Trelleborg,2023-05-15 19:55:17
Trelleborg,2023-05-15 22:35:48,Travemunde,2023-05-16 05:27:02
Travemunde,2023-05-16 07:57:29,Rostock,2023-05-16 11:03:04
Rostock,2023-05-16 11:58:18,Trelleborg,2023-05-16 17:29:06
Trelleborg,2023-05-16 20:09:38,Travemunde,2023-05-17 04:56:07
Travemunde,2023-05-17 07:31:32,Rostock,2023-05-17 10:57:11
Rostock,2023-05-17 11:52:08,Trelleborg,2023-05-17 17:28:13
Trelleborg,2023-05-17 19:53:51,Travemunde,2023-05-18 05:00:28
Travemunde,2023-05-18 07:30:11,Rostock,2023-05-18 10:56:38
Rostock,2023-05-18 11:51:50,Trelleborg,2023-05-18 17:12:56
Trelleborg,2023-05-18 19:13:17,Swinoujscie,2023-05-19 01:42:38
Swinoujscie,2023-05-19 03:09:13,Trelleborg,2023-05-19 10:56:10
Trelleborg,2023-05-19 14:56:34,Travemunde,2023-05-20 18:11:53
Travemunde,2023-05-20 23:02:50,Trelleborg,2023-05-21 07:14:09
Trelleborg,2023-05-21 12:50:10,Swinoujscie,2023-05-21 21:59:49
Swinoujscie,2023-05-22 00:41:13,Trelleborg,2023-05-22 05:52:57
Trelleborg,2023-05-22 07:08:12,Swinoujscie,2023-05-22 12:13:02
Swinoujscie,2023-05-22 14:16:43,Trelleborg,2023-05-22 20:00:18
Trelleborg,2023-05-22 21:50:39,Travemunde,2023-05-23 05:31:41
Travemunde,2023-05-23 07:31:04,Rostock,2023-05-23 11:02:57
Rostock,2023-05-23 11:58:06,Trelleborg,2023-05-23 17:29:15
Trelleborg,2023-05-23 20:49:52,Travemunde,2023-05-24 04:56:25
Travemunde,2023-05-24 07:37:03,Rostock,2023-05-24 11:02:47
Rostock,2023-05-24 12:28:01,Trelleborg,2023-05-24 17:33:54
Trelleborg,2023-05-24 20:13:14,Travemunde,2023-05-25 05:01:01
Travemunde,2023-05-25 07:46:30,Rostock,2023-05-25 11:07:06
Rostock,2023-05-25 12:02:21,Trelleborg,2023-05-25 16:48:09
Trelleborg,2023-05-25 19:48:28,Swinoujscie,2023-05-26 01:38:19
Swinoujscie,2023-05-26 03:24:30,Trelleborg,2023-05-26 10:56:06
Trelleborg,2023-05-26 15:04:00,Swinoujscie,2023-05-26 22:09:36
Swinoujscie,2023-05-27 00:03:12,Trelleborg,2023-05-27 06:59:31
Trelleborg,2023-05-27 09:19:52,Travemunde,2023-05-27 17:56:28
Travemunde,2023-05-27 22:52:14,Trelleborg,2023-05-28 06:28:34
Trelleborg,2023-05-28 07:58:43,Rostock,2023-05-28 13:54:52
Rostock,2023-05-28 14:20:03,Travemunde,2023-05-28 18:00:37
Travemunde,2023-05-28 19:30:54,Trelleborg,2023-05-29 04:30:31
Trelleborg,2023-05-29 05:52:48,Swinoujscie,2023-05-29 11:37:38
Swinoujscie,2023-05-29 14:03:34,Trelleborg,2023-05-29 19:50:22
Trelleborg,2023-05-29 21:45:46,Rostock,2023-05-30 04:52:03
Rostock,2023-05-30 06:35:33,Trelleborg,2023-05-30 13:28:40
Trelleborg,2023-05-30 20:24:55,Travemunde,2023-05-31 04:56:18
Travemunde,2023-05-31 07:46:53,Rostock,2023-05-31 10:52:31
Rostock,2023-05-31 12:02:40,Trelleborg,2023-05-31 17:28:31
Trelleborg,2023-05-31 19:54:01,Travemunde,2023-06-01 04:50:32
Travemunde,2023-06-01 07:35:53,Rostock,2023-06-01 11:01:26
Rostock,2023-06-01 12:06:33,Trelleborg,2023-06-01 17:07:17
Trelleborg,2023-06-01 19:52:07,Swinoujscie,2023-06-02 01:22:33
Swinoujscie,2023-06-02 03:20:52,Trelleborg,2023-06-02 10:55:13
Trelleborg,2023-06-02 15:06:08,Swinoujscie,2023-06-02 22:00:08
Swinoujscie,2023-06-02 23:52:42,Trelleborg,2023-06-03 06:58:58
Trelleborg,2023-06-03 08:59:26,Travemunde,2023-06-03 17:56:03
Travemunde,2023-06-03 22:56:54,Trelleborg,2023-06-04 07:13:26
Trelleborg,2023-06-04 12:52:41,Swinoujscie,2023-06-04 21:06:15
Swinoujscie,2023-06-04 23:01:05,Trelleborg,2023-06-05 04:52:06
Trelleborg,2023-06-05 05:44:34,Swinoujscie,2023-06-05 11:38:07
Swinoujscie,2023-06-05 14:00:01,Trelleborg,2023-06-05 19:54:45
Trelleborg,2023-06-05 21:55:12,Travemunde,2023-06-06 05:36:25
Travemunde,2023-06-06 07:41:48,Rostock,2023-06-06 11:06:15
Rostock,2023-06-06 12:02:32,Trelleborg,2023-06-06 17:28:35
Trelleborg,2023-06-06 19:59:07,Travemunde,2023-06-07 04:50:00
Travemunde,2023-06-07 07:30:59,Rostock,2023-06-07 11:01:36
Rostock,2023-06-07 12:41:55,Trelleborg,2023-06-07 17:42:45
Trelleborg,2023-06-07 20:33:23,Travemunde,2023-06-08 06:55:01
Travemunde,2023-06-08 08:55:29,Rostock,2023-06-08 12:06:03
Rostock,2023-06-08 12:56:06,Trelleborg,2023-06-08 17:27:05
Trelleborg,2023-06-08 20:02:33,Swinoujscie,2023-06-09 01:18:34
Swinoujscie,2023-06-09 03:18:49,Trelleborg,2023-06-09 10:55:17
Trelleborg,2023-06-09 15:00:55,Swinoujscie,2023-06-09 22:00:10
Swinoujscie,2023-06-10 00:13:55,Trelleborg,2023-06-10 06:58:30
Trelleborg,2023-06-10 09:07:34,Travemunde,2023-06-10 17:55:25
Travemunde,2023-06-10 22:56:23,Trelleborg,2023-06-11 07:12:36
Trelleborg,2023-06-11 12:53:46,Swinoujscie,2023-06-11 21:05:17
Swinoujscie,2023-06-11 23:00:20,Trelleborg,2023-06-12 04:51:29
Trelleborg,2023-06-12 05:46:32,Swinoujscie,2023-06-12 11:32:42
Swinoujscie,2023-06-12 14:03:11,Trelleborg,2023-06-12 20:14:08
Trelleborg,2023-06-12 21:54:25,Travemunde,2023-06-13 05:20:32
Travemunde,2023-06-13 07:36:06,Rostock,2023-06-13 10:50:54
Rostock,2023-06-13 12:11:58,Trelleborg,2023-06-13 17:12:51
Trelleborg,2023-06-13 20:02:58,Travemunde,2023-06-14 04:54:41
Travemunde,2023-06-14 07:40:20,Rostock,2023-06-14 10:55:55
Rostock,2023-06-14 12:11:13,Trelleborg,2023-06-14 17:17:11
Trelleborg,2023-06-14 19:57:39,Travemunde,2023-06-15 04:44:13
Travemunde,2023-06-15 07:34:40,Rostock,2023-06-15 10:50:19
Rostock,2023-06-15 11:55:38,Trelleborg,2023-06-15 16:56:30
Trelleborg,2023-06-15 19:27:02,Swinoujscie,2023-06-16 22:13:48
Swinoujscie,2023-06-17 00:00:51,Trelleborg,2023-06-17 06:43:08
Trelleborg,2023-06-17 09:03:11,Travemunde,2023-06-17 17:59:58
Travemunde,2023-06-17 23:00:54,Trelleborg,2023-06-18 07:12:09
Trelleborg,2023-06-18 13:13:24,Swinoujscie,2023-06-18 21:25:53
Swinoujscie,2023-06-18 23:12:13,Trelleborg,2023-06-19 04:46:08
Trelleborg,2023-06-19 06:01:21,Swinoujscie,2023-06-19 11:31:07
Swinoujscie,2023-06-19 14:07:26,Trelleborg,2023-06-19 20:13:51
Trelleborg,2023-06-19 21:54:15,Travemunde,2023-06-20 04:50:30
Travemunde,2023-06-20 07:41:04,Rostock,2023-06-20 11:01:44
Rostock,2023-06-20 12:27:08,Trelleborg,2023-06-20 17:07:49
Trelleborg,2023-06-20 20:17:09,Travemunde,2023-06-21 04:49:47
Travemunde,2023-06-21 07:30:21,Rostock,2023-06-21 10:55:56
Rostock,2023-06-21 12:01:11,Trelleborg,2023-06-21 17:23:25
Trelleborg,2023-06-21 20:09:05,Travemunde,2023-06-22 04:50:43
Travemunde,2023-06-22 07:31:15,Rostock,2023-06-22 10:56:55
Rostock,2023-06-22 11:42:04,Trelleborg,2023-06-22 16:49:19
Trelleborg,2023-06-22 19:34:52,Swinoujscie,2023-06-23 01:28:07
Swinoujscie,2023-06-23 03:17:51,Trelleborg,2023-06-23 10:27:21
Trelleborg,2023-06-23 15:13:40,Swinoujscie,2023-06-23 22:12:44
Swinoujscie,2023-06-23 23:55:16,Trelleborg,2023-06-24 05:51:58
Trelleborg,2023-06-24 06:41:53,Rostock,2023-06-24 13:18:09
Rostock,2023-06-24 14:43:30,Trelleborg,2023-06-24 20:14:29
Trelleborg,2023-06-24 21:44:40,Rostock,2023-06-25 05:04:59
Rostock,2023-06-25 07:36:40,Trelleborg,2023-06-25 12:57:31
Trelleborg,2023-06-25 15:07:53,Swinoujscie,2023-06-25 21:04:06
Swinoujscie,2023-06-25 23:16:00,Trelleborg,2023-06-26 05:30:21
Trelleborg,2023-06-26 07:30:49,Rostock,2023-06-26 13:46:56
Rostock,2023-06-26 14:16:57,Travemunde,2023-06-26 17:42:35
Travemunde,2023-06-26 19:58:06,Trelleborg,2023-06-27 04:59:34
Trelleborg,2023-06-27 07:35:05,Rostock,2023-06-27 13:36:10
Rostock,2023-06-27 14:36:26,Travemunde,2023-06-27 17:56:55
Travemunde,2023-06-27 20:02:16,Trelleborg,2023-06-28 04:58:26
Trelleborg,2023-06-28 08:04:09,Rostock,2023-06-28 13:05:09
Rostock,2023-06-28 14:50:23,Travemunde,2023-06-28 17:55:51
Travemunde,2023-06-28 20:06:13,Trelleborg,2023-06-29 05:22:51
Trelleborg,2023-06-29 08:33:23,Travemunde,2023-06-29 16:59:51
Travemunde,2023-06-29 19:55:14,Trelleborg,2023-06-30 05:26:41
Trelleborg,2023-06-30 08:27:23,Travemunde,2023-06-30 16:53:47
Travemunde,2023-06-30 19:39:32,Trelleborg,2023-07-01 05:21:12
